Gene_Set_Name,Systematic_name,Gene_Set_K,Description,Description_short,Genes_Overlap_k,k/K,pvalue,FDR_qvalue,Cluster_subset
HALLMARK_MYC_TARGETS_V1,NA,200,A subgroup of genes regulated by MYC - version 1 (v1).,MYC regulated genes (v1),19,0.095,2.67E-24,8.13E-23,Cluster1
HALLMARK_MYC_TARGETS_V2,NA,58,A subgroup of genes regulated by MYC - version 2 (v2).,MYC regulated genes (v2),14,0.2414,3.25E-24,8.13E-23,Cluster1
HALLMARK_IL2_STAT5_SIGNALING,NA,200,Genes up-regulated by STAT5 in response to IL2 stimulation.,IL2 stimulation,16,0.08,2.16E-19,2.70E-18,Cluster1
HALLMARK_MTORC1_SIGNALING,NA,200,Genes up-regulated through activation of mTORC1 complex.,mTORC1 signaling,16,0.08,2.16E-19,2.70E-18,Cluster1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,NA,200,Genes regulated by NF-kB in response to TNF [GeneID=7124].,NFKB signaling,15,0.075,8.05E-18,8.05E-17,Cluster1
HALLMARK_ALLOGRAFT_REJECTION,NA,200,Genes up-regulated during transplant rejection.,allograpft rejection,12,0.06,2.56E-13,2.13E-12,Cluster1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,NA,113,"Genes up-regulated during unfolded protein response, a cellular stress response related to the endoplasmic reticulum.",unfolded protein response,8,0.0708,7.42E-10,5.30E-09,Cluster1
HALLMARK_INFLAMMATORY_RESPONSE,NA,200,Genes defining inflammatory response.,Inflammatory response,8,0.04,6.61E-08,4.13E-07,Cluster1
HALLMARK_E2F_TARGETS,NA,200,Genes encoding cell cycle related targets of E2F transcription factors.,E2F cell cycle targets,6,0.03,1.60E-05,6.66E-05,Cluster1
HALLMARK_G2M_CHECKPOINT,NA,200,"Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.",G2/M checkpoint,6,0.03,1.60E-05,6.66E-05,Cluster1
HALLMARK_HYPOXIA,NA,200,Genes up-regulated in response to low oxygen levels (hypoxia).,NA,6,0.03,1.60E-05,6.66E-05,Cluster1
HALLMARK_INTERFERON_GAMMA_RESPONSE,NA,200,Genes up-regulated in response to IFNG [GeneID=3458].,NA,6,0.03,1.60E-05,6.66E-05,Cluster1
HALLMARK_UV_RESPONSE_DN,NA,144,Genes down-regulated in response to ultraviolet (UV) radiation.,NA,5,0.0347,4.18E-05,1.61E-04,Cluster1
HALLMARK_GLYCOLYSIS,NA,200,Genes encoding proteins involved in glycolysis and gluconeogenesis.,NA,5,0.025,1.96E-04,7.00E-04,Cluster1
HALLMARK_UV_RESPONSE_UP,NA,158,Genes up-regulated in response to ultraviolet (UV) radiation.,NA,4,0.0253,8.36E-04,2.79E-03,Cluster1
