x,log2_Naive_2157A,log2_Naive_2157C,log2_Naive_2157B,log2_Memory_1962B,log2_Memory_1635B,log2_Memory_1655D,log2_DN_1655B,log2_DN_1962A,log2_DN_1716A,log2_SP_1716B,log2_SP_1944B,log2_SP_1655C,log2_DP_1635A,log2_DP_1944A,log2_DP_1655A,"anova_fdr_pvals min(anova_raw_vals,anova_log2_vals)","fold_change (min (max (mean_fc), max(median_fc))",rank_anova,rank_fc,ave_rankings,cluster
0610009O20RIK,8.304,8.2986,8.3948,6.2251,6.0608,6.2164,5.9819,4.6348,4.3923,7.6591,7.3742,6.5935,6.1486,5.8866,6.2056,0.045891207,4.352899165,2193,544,1368.5,9
0610010B08RIK.GM14295.LOC627901,7.4648,7.6944,7.5323,8.1702,8.4625,9.0094,8.2368,8.9119,8.832,9.5375,9.7312,9.6609,10.0499,9.8621,10.0229,0.006813095,2.285765526,778,1875,1326.5,2
0610010F05RIK,6.2034,6.1168,6.2936,5.6522,5.7964,5.9916,5.8336,5.4048,5.9975,7.1627,7.5035,7.3122,8.1695,7.7262,8.1116,0.003969591,4.824287393,436,454,445,1
0610037D15RIK,6.5011,6.2766,6.3759,6.6599,6.0565,6.2577,6.5248,6.029,6.6414,7.2015,7.2372,7.6404,7.6277,7.588,7.2718,0.025106324,2.101561325,1748,2256,2002,1
1110004F10RIK,9.459,9.2582,9.3076,9.9832,9.9221,9.8265,9.7293,9.5488,9.725,9.8717,9.9314,9.9907,10.1184,10.1126,10.1161,0.008882349,1.311802665,984,3026,2005,2
1110007C09RIK,7.0848,7.1974,7.3012,8.7459,9.1073,8.7884,8.3396,8.3087,7.6551,7.7201,4.3923,8.6519,9.3854,10.149,8.9362,0.141110143,3.182131401,2826,971,1898.5,7
1110008L16RIK,6.9832,6.7785,6.6478,7.014,7.1971,7.179,6.9658,6.9871,7.0448,6.8447,6.7856,6.9761,6.2886,6.3075,6.2723,0.002071291,1.630807684,200,2804,1502,4
1110032A03RIK.LOC100048251,6.1163,6.5464,6.6329,7.4336,6.8229,7.0717,5.882,4.9722,6.4515,6.663,7.3543,7.1447,7.0778,6.1856,6.799,0.134204407,2.307131707,2797,1840,2318.5,10
1110032A13RIK,8.94,8.757,8.7742,8.8008,8.7276,8.6131,8.7311,8.8395,8.768,8.438,8.3983,8.5127,8.2521,8.4209,8.3298,0.008695391,1.356029596,967,3001,1984,4
1110034G24RIK,7.0723,7.0809,7.1827,7.4964,7.5472,7.1306,7.7184,7.4098,7.1953,7.0138,6.9035,6.5957,5.2996,6.0965,5.9014,0.016110889,2.876288819,1416,1178,1297,4
1110035E04RIK,5.8063,5.9907,6.0188,5.7238,5.645,6.5119,6.29,6.3525,5.806,7.6211,7.3214,7.2162,7.3708,7.2483,7.0002,0.014906753,2.05755488,1360,2396,1878,1
1110067D22RIK,4.3923,4.3983,4.3923,7.6214,7.3297,7.9745,7.2835,7.6862,8.1687,8.6543,9.0862,9.0466,9.4177,9.0948,9.3401,0.016705208,2.901590604,1443,1159,1301,2
1190002A17RIK,5.088,5.0481,5.0054,6.2508,6.4673,7.6932,6.2242,7.3488,6.7165,4.9161,4.5222,4.3923,6.0338,4.9027,4.3923,0.044967413,4.739344697,2177,464,1320.5,5
1190002F15RIK,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.3923,4.4758,4.9438,5.4808,5.0391,5.6733,5.0672,5.6405,0.032611393,2.145901115,1961,2140,2050.5,1
1190002H23RIK,9.0442,9.2272,9.112,8.7989,8.7609,8.0235,9.3361,8.6319,8.6148,8.1225,7.0653,7.6472,6.1446,7.4881,6.5272,0.040401719,4.217926911,2103,572,1337.5,4
1190005F20RIK,8.3209,8.2485,8.3131,7.6504,7.996,8.1571,7.4039,8.0714,8.1133,7.6877,8.4238,7.6556,6.2385,5.8294,7.3217,0.083252615,2.586027556,2555,1457,2006,4
1200003I10RIK.1200015M12RIK.1200016E24RIK.A130040M12RIK.E430024C06RIK,13.9075,13.9435,13.9326,13.0239,13.0425,12.9711,13.2758,13.2675,13.2386,12.9117,12.9057,12.769,12.6101,12.6549,12.7221,0.002303653,1.51328858,234,2894,1564,3
1200009F10RIK,6.2365,6.4824,6.1664,6.1449,6.2389,7.2665,5.5352,6.4838,6.5029,6.9105,7.7568,7.5299,8.2301,7.38,7.6647,0.053738408,2.281465531,2297,1879,2088,1
1200016E24RIK,9.7923,9.8743,9.6647,9.2465,8.7007,8.3794,10.1173,9.5246,9.8222,8.6599,8.6812,8.7038,8.5816,8.322,8.088,0.008377369,2.828138668,918,1221,1069.5,3
1300014I06RIK,5.561,6.1682,5.8921,8.1547,7.8937,7.7555,6.8474,6.3183,7.3619,7.998,8.3488,8.4538,8.7344,8.402,8.5041,0.016713147,3.153933148,1445,986,1215.5,2
1500004A13RIK,7.3332,7.3739,7.4901,4.9283,4.7977,4.474,4.3923,4.3923,4.3923,5.2571,5.4119,5.165,4.6434,4.9694,4.5981,0.009941135,1.862136766,1115,2650,1882.5,9
1500009L16RIK,4.4987,4.3923,4.9406,7.3742,7.8023,8.5823,5.9891,7.8347,7.059,7.3771,6.9735,7.4822,8.3512,8.4434,7.9793,0.090647844,2.188780168,2605,2055,2330,2
1500011B03RIK,8.7946,8.7774,8.8125,9.4491,9.2985,9.1658,9.7452,9.5081,9.6694,8.8382,8.9332,8.9927,9.0283,8.8879,8.9961,0.004866867,1.650188704,562,2790,1676,5
1500015A07RIK,6.3503,6.1871,6.2988,7.3063,6.9985,6.9731,7.7028,6.892,6.9511,6.3248,5.6334,5.3671,5.6663,5.2773,4.3923,0.039580423,3.248506407,2089,935,1512,4
1600012F09RIK,8.8329,9.0243,8.8992,7.994,8.0324,7.8897,7.9495,7.7242,7.614,6.6821,5.4322,6.9918,7.6614,8.1195,7.2759,0.08930505,2.069670457,2597,2356,2476.5,3
1600027N09RIK,8.2995,8.0413,8.1078,8.2351,8.3221,8.1966,8.2544,8.0785,8.0651,8.4867,8.368,8.4499,7.8899,7.864,7.9199,0.006728392,1.460208007,765,2927,1846,8
1700008F19RIK,4.9046,4.9376,5.1586,4.5338,4.6458,4.5318,4.847,4.8706,4.9223,4.3923,4.3923,4.481,4.6202,4.8032,4.7694,0.008472604,1.391731763,936,2974,1955,3
1700009P17RIK,5.8725,5.6378,5.784,5.8871,5.7504,6.4288,4.9196,5.9112,6.1921,6.5967,7.1629,6.8816,6.938,6.5076,6.9256,0.078079254,2.037269714,2512,2459,2485.5,1
1700010I14RIK,6.8715,6.3554,6.6321,5.3683,5.8895,5.6623,4.9422,4.998,4.3923,6.0659,5.605,6.2108,4.9251,5.439,5.0828,0.03837019,2.218797036,2067,2005,2036,9
1700012B09RIK,4.3923,4.3923,4.4728,4.3923,4.3923,4.9926,5.6275,4.3923,5.473,5.6171,6.4804,5.61,7.7605,6.5695,5.9824,0.158469539,2.164530751,2860,2108,2484,1
1700012D01RIK,5.9347,5.3918,5.6776,5.4088,4.9469,6.1051,5.5674,5.7879,5.8367,6.8258,7.1354,6.5018,6.5515,5.7943,6.3584,0.048710728,2.07269994,2230,2344,2287,1
1700017B05RIK,7.0003,6.9221,7.1917,6.0836,7.808,7.1317,8.5155,9.3425,8.8525,8.6573,8.0887,8.8602,9.5339,9.9604,9.8263,0.041870451,2.251696958,2130,1926,2028,1
1700019D03RIK,7.4601,7.645,8.0225,7.5086,7.4575,7.6994,7.4586,6.5249,6.2672,9.4017,9.3858,8.6112,7.4326,7.8145,7.6473,0.017875241,5.068572086,1488,413,950.5,10
1700019E19RIK,5.4047,5.2919,5.4143,5.4834,4.5393,6.3985,4.3923,5.4585,6.025,6.3181,6.9218,6.8554,7.1764,6.4852,6.5701,0.08401103,2.567148024,2564,1482,2023,1
