Ciofani2_Th17_Core,Wei2011_Th1,Wei2011_Th2,Wei2011_iTreg,Crawford3_core_exhuastion,Treg_scHPF,CD4 NV_CM_scHPF,Crawford2_Co_inhib_exhaustionCD4,Crawford3_core_exhuastion,Safford2005_Anergic,Birzele1_UP_ActivatedTregspecific,Birzele2_DOWN_ActivatedTregspecific,Birzele3_UP_ActivatedTeffspecific,Birzele4_DOWN_ActivatedTeffspecific
STAT3,PRSS16,PTH,FOXP3,ARAP2,LRRC32,CTB-133G6.1,BTLA,ARAP2,EGR2,LRRC32,SSBP2,ABCD2,RNMTL1
IRF4,SERPINB9,CYSLTR1,CD83,CCNA2,RGS1,TMEM45B,CD160,CCNA2,ETV6,CHAC1,CITED2,DACT1,ATG4D
RORC,FAM49A,RNF128,PDLIM7,CCNB2,FOXP3,AK5,CD200,CCNB2,FOXP1,EGR1,LPCAT4,TNFSF13B,ITFG3
MAF,TRIB2,GPM6B,SERINC5,CCNYL1,RNF207,NOG,CD200R1,CCNYL1,HLF,PYCR1,CHD6,RSAD2,GFOD2
BATF,HAVCR2,MBOAT1,ENO3,CD86,CTLA4,NGFRAP1,CD200R1L,CD86,IRF4,IL13,APOL3,IDO1,DAPK3
FOSL2,CCL5,AUH,ITGAE,CENPE,P2RY14,TCEA3,CD244,CENPE,JARID2,ZBED2,CYTH1,RTP4,CDC34
CYSLTR2,TBX21,NFIL3,TIMP2,CRLF3,GNG8,VSIG1,CD274,CRLF3,NFATC1,IL10,TRIB2,DERA,PQLC1
CCL5,GSTT1,GZMA,SMPDL3A,DEPDC1,FAS,FBLN5,CTLA4,DEPDC1,NOTCH1,NR4A1,ZNF792,OAS1,RCE1
HIF1A,PPP1R12A,FOS,MMP11,DPH5,MAF,EPHX2,HAVCR2,DPH5,NR4A2,IL1R2,FYB,SLAMF7,EHD4
IL18RAP,IFNG,BATF,CHCHD10,DTL,TNFRSF4,NUAK2,LAG3,DTL,NR4A3,ULBP1,TMX4,KRT1,KCNN4
IL17A,RUNX2,RPS6KA5,CCR6,ENTPD5,FRMD4B,PIK3IP1,LAIR1,ENTPD5,ZFP36L1,IL17F,GPRASP1,GBP7,NFKBIB
IL17F,XDH,GATSL3,TFF1,EOMES,WNT10A,HPCAL4,LILRB4,EOMES,ACTN4,EIF4EBP1,MICAL1,ATG4C,SORBS3
CCL20,YIPF4,LIF,TGIF1,FAM105A,GPC1,PASK,PDCD1,FAM105A,AGT,RGS16,RORC,ALG6,ARHGEF2
CCR8,SH3BP5,XBP1,SLC15A3,GPI,RAB11FIP1,ANKRD55,PDCD1LG2,GPI,ANGPTL2,BCAT1,FCER1A,JAK2,APBA2
IL2,DNAJC15,ZCCHC10,GSTO1,GPR141,ZC3H12D,C16orf74,PILRA,GPR141,ANKRD28,VEGFA,RGS2,THEMIS,NINJ1
CXCR3,EPSTI1,KIF3A,DBP,GRAP2,RHEBL1,SGK223,SIRPB1,GRAP2,ANP32A,GPT2,ITGA4,PIGN,GZMM
TBX21,GNAQ,IL4,GDPD5,HSPA4L,ARID5A,GPR146,TIGIT,HSPA4L,RCBTB1,PSPH,LAPTM5,CBR4,ISM1
CCL4,ANXA1,IL13,QPRT,IDH2,ZC2HC1A,PABPC3,,IDH2,S100A5,NLN,CEP68,CDCA7L,RNF126
CCL3,IFIT1,IL5,GADD45A,IFI44,MB21D2,CYSLTR1,,IFI44,SFRP4,UCK2,SESN1,HSDL2,SH3GL1
CCR6,LAIR1,FAM183B,KRTCAP3,IFIH1,CD109,LEF1,,IFIH1,SOCS4,TNIP3,TNRC6B,IMPACT,CSRNP1
IL1R1,FFAR2,CENPV,CYTH3,IRF4,ETV7,ZBTB18,,IRF4,GCH1,TNFRSF9,GIMAP4,HIBADH,FAM89B
GPR15,FXYD7,SERPINF1,GPX7,ISG20,CMTM6,VIPR1,,ISG20,KIFC3,NR4A3,SERINC5,FUT8,EPN1
IL18R1,MCTP2,SLC6A4,FCRL1,KIF15,MAPK11,GAL3ST4,,KIF15,PFKP,SLC43A1,CCR3,RCBTB2,MAPK8IP3
IL21RB1,FES,ZPBP2,PLA2G4F,KLHL6,HRH1,APBA2,,KLHL6,PLA2G10,ZBTB32,SIRPG,DDX60,MAFK
IL7R,FURIN,TANC2,CD40,KLHL7,TMEM173,TCP11L2,,KLHL7,ARFIP1,SCFD2,RAB31,SNTB1,DOK2
IL2RA,PICALM,MOXD1,ANKRD39,LAG3,IRF4,HEMGN,,LAG3,BNIP3,HK2,FAM8A1,RNF170,ARID5A
LTB4R1,SYTL2,LILRB4,PDCD1,MKI67,DUSP5,SLC22A17,,MKI67,CCRN4L,HOMER1,MTSS1,FIG4,RABEP2
IL12RB2,RRAS2,NTS,ATP1B1,MLF1,BATF,FHIT,,MLF1,DTNA,ATF3,UBA7,OMA1,DENND3
LTB,DCUN1D3,KREMEN2,EPHX1,MLKL,PLEKHG1,SLC16A10,,MLKL,CCL1,CTH,ACSS1,APOL1,NR4A2
IL10RA,LYRM1,IER3,CXCR5,MX1,HMMR,ZNF563,,MX1,CCL3,JAKMIP1,LXN,CFDP1,CDK5R1
SMAD3,TMEM159,EPAS1,GSTA4,NAB1,PLAT,FCMR,,NAB1,CSF1,TFRC,SLC6A6,LMO7,PPDPF
IL23A,IFITM2,TNP2,NT5E,NAP1L3,SNX10,LDLRAP1,,NAP1L3,TNFSF11,C17orf96,CALCOCO1,MBLAC2,TNFAIP8L1
CCR7,IFITM1,PROS1,,NCAPG,GNA15,SULT1B1,,NCAPG,TNFSF9,SFXN4,SMAD3,CSTF3,SIPA1
IL24,IFITM3,TG,,NLK,MAST4,ATM,,NLK,FBXO34,CYP1B1,PRKACB,STAP1,IRF2BP1
IL4RA,NOD1,KCNK5,,NSMAF,SLC41A2,SELL,,NSMAF,GADD45B,SLC7A5,IL10RA,SOS1,BCL3
IL21,IL12RB2,ADK,,NUDT15,GRAMD4,GIMAP2,,NUDT15,HEBP2,C17orf58,LRRC37B,EXOC6,KLF16
CXCL10,MXD1,ERO1L,,PLOD2,SPATS2L,SESN3,,PLOD2,DDR1,SLC4A5,SORL1,OAS2,CCDC107
IL6RA,USP18,AFG3L2,,PON3,DDIT4,CACNA1I,,PON3,FYN,POLA1,IFNAR2,IFI44L,MAP1S
IL16,KLRD1,PLEKHF1,,PRR11,SMCO4,C1orf162,,PRR11,JAK3,SLC7A1,HSD17B11,MAF,TSPAN18
,KLRK1,SLC17A6,,RCBTB1,IRF5,EVI2B,,RCBTB1,ADORA2A,UBXN8,42437,CYSLTR1,RRP12
,KLRC1,ADAMTSL3,,RSAD2,TNFRSF18,ATG9B,,RSAD2,ADORA2B,IL12RB2,GAB2,LRRN3,GNA15
,BST1,TMEM140,,SATB1,TOX2,RASA3,,SATB1,F2R,LRP8,TIMP1,PDLIM5,GRASP
,HOPX,GSTK1,,SCARNA17,SPATA24,C14orf132,,SCARNA17,GABRA4,SOCS3,PPP3CA,RASA1,STX1A
,PLAC8,GPNMB,,SETBP1,TYMP,TXK,,SETBP1,KCNJ11,TNFRSF4,GCNT4,ZNF518A,RFX1
,GEM,SEMA4F,,SH2D1A,PRDM1,MFGE8,,SH2D1A,KCNK5,BLM,PIK3R1,C12orf76,TSSK3
,CSF1,PPARG,,SNORD35B,RTKN2,DBP,,SNORD35B,KCNQ5,TNFSF11,ZFAND2B,PRIMPOL,ABCA1
,GBP6,BCL2L14,,TAF1A,SGPP2,SERINC5,,TAF1A,CASP4,CCR8,TCF7,,JUN
,GBP3,CXCL3,,TINF2,COL9A2,EVI2A,,TINF2,CTSE,WDR70,STK38,,FOS
